1st NAME	px   py   pz   pt1   E			2nd NAME	px   py   pz   pt2   E
b   -26.5548   -57.8039   -5.78237   63.6117   64.0112      b   -49.5812   -42.0423   -75.9001   65.0065   100.021
b   -24.2744   -43.661   31.0325   49.9553   58.9585      b   -30.4592   -2.10006   64.3752   30.5315   71.3715
b   4.11543   63.7088   -32.0784   63.8416   71.5705      b   14.3646   8.57256   -39.5547   16.7281   43.1505
b   43.9205   -24.5698   -41.5091   50.3258   65.3701      b   1.36158   -60.4874   -31.9742   60.5028   68.5601
W   47.675   1.94006   46.2526   47.7145   104.3      W   21.369   83.2491   36.9875   85.9479   123.36
b   33.3484   62.9156   -4.79471   71.2074   71.4915      b   21.1702   20.3079   -4.18978   29.3358   29.9282
Z   11.5209   11.7302   -11.328   16.4416   93.3503      Z   83.0368   0.079319   -7.17498   83.0369   123.54
b   54.6607   9.12584   14.8033   55.4173   57.5132      b   0.869965   42.6007   21.5474   42.6095   47.9314
b   11.7974   -32.3596   -22.9762   34.4431   41.6147      b   5.48914   -16.4869   -48.5334   17.3767   51.7204
W   17.8996   -7.56776   -43.6058   19.4337   93.497      W   14.3879   -1.47017   -23.2849   14.4629   84.9347
b   3.99684   -10.6979   -11.5416   11.4202   16.7686      b   10.9774   -3.74853   -11.2288   11.5998   16.6792
b   -35.1538   -16.4207   -3.69344   38.7998   39.1998      b   -60.8724   -20.7544   -55.0368   64.3132   84.7514
W   5.50583   1.63929   -41.9807   5.74468   90.8732      W   61.7441   3.4804   -31.9018   61.8421   106.324
Z   4.48297   -90.048   17.9967   90.1595   129.492      Z   29.7161   -3.3875   0.839304   29.9085   95.9731
b   9.07649   17.7912   -58.2221   19.9727   61.695      b   31.4806   54.7618   -33.2678   63.1655   71.5135
b   8.77021   16.6006   5.63543   18.7749   20.0452      b   1.96395   35.3501   5.26567   35.4046   36.0384
b   15.4264   -18.6189   5.42058   24.1792   25.1311      b   68.508   -23.708   41.5943   72.4942   83.6842
b   -19.4956   6.13694   3.13483   20.4387   21.0979      b   -1.1779   2.67819   5.177   2.92577   7.27444
b   -0.0800472   42.257   -17.349   42.2571   45.8716      b   -64.7188   16.6366   -53.631   66.8229   85.7854
b   2.13467   0.355102   -59.8054   2.16401   59.9911      b   27.5724   86.1201   -8.77252   90.4262   90.9473
W   -4.63879   -12.4139   50.6111   13.2523   95.9149      W   -34.4408   -27.4756   29.4477   44.0577   96.285
b   3.63429   4.89559   -41.8239   6.09712   42.4731      b   43.1648   0.644811   -19.227   43.1696   47.4431
Z   33.609   54.9169   -5.18038   64.385   111.749      Z   15.5847   11.1529   -7.50748   19.1643   93.4839
b   93.9772   -20.8452   -20.8698   96.2613   98.5867      b   5.88357   -41.5749   -36.3866   41.9892   55.7192
b   47.1375   -31.1817   35.0321   56.5176   66.6262      b   28.6795   -12.208   0.667728   31.1697   31.4571
W   61.1772   1.37159   45.9343   61.1926   110.982      W   18.1638   1.73882   34.2548   18.2468   89.2686
W   37.5339   2.75017   9.71764   37.6345   89.2936      W   35.3029   0.483063   23.1436   35.3062   90.8004
b   10.1931   -53.3638   25.1167   54.3286   60      b   7.06755   -36.0532   58.497   36.7394   69.2043
b   1.55207   10.8487   -16.0671   10.9592   19.895      b   2.69046   21.2269   -78.0573   21.3968   81.0452
b   5.12531   -4.35068   39.66   6.72289   40.4434      b   91.1596   -14.6715   6.52246   92.3327   92.6576
b   -36.573   -55.1133   18.069   66.1443   68.6958      b   -8.60749   -39.9458   24.096   40.8627   47.6228
b   23.3043   4.29011   6.30008   23.6959   24.8746      b   41.6959   20.8254   15.2151   46.6073   49.2067
W   5.77641   12.7011   0.321654   13.953   81.5925      W   7.93954   27.8477   49.0975   28.9574   98.5477
b   -13.5661   21.1649   -21.0524   25.1395   33.0568      b   -0.29744   37.2731   -52.1718   37.2743   64.2559
b   -4.48097   10.4594   -63.3391   11.3789   64.4894      b   -73.8162   17.4484   -30.9273   75.8503   82.0203
b   -67.3376   65.5858   38.4616   93.9992   101.65      b   -29.5472   1.90096   33.4222   29.6083   44.847
b   -69.8631   25.0157   -8.48825   74.2067   74.8081      b   -5.98557   5.18765   -15.7682   7.92079   18.1365
b   3.73282   3.05108   1.47083   4.8211   6.55458      b   5.30296   92.6148   2.74004   92.7665   92.9015
b   -56.0024   -21.6918   6.64166   60.0567   60.5679      b   -16.0112   -8.0515   5.6022   17.9216   19.2386
b   -4.03854   -61.2724   62.954   61.4054   88.0419      b   -20.2187   -12.71   29.584   23.8818   38.2506
W   25.6514   5.84761   6.38045   26.3095   84.826      W   0.716055   0.577191   6.55692   0.91972   80.6622
b   -44.514   -13.0812   -30.4016   46.3963   55.6276      b   -17.9486   -30.8945   -37.1031   35.7298   51.6799
b   2.88701   -11.4596   -14.8382   11.8176   19.4264      b   8.09142   -32.3195   -9.47573   33.317   34.8908
b   90.7166   7.57549   6.15469   91.0324   91.3364      b   9.27089   55.2662   65.4144   56.0384   86.2375
b   23.9269   -28.1677   -69.6534   36.9583   78.9625      b   47.8089   -7.0045   -5.13924   48.3193   48.7721
b   -6.66725   -3.20256   74.034   7.39653   74.5205      b   -88.0948   -22.8014   0.42617   90.9978   91.0952
b   20.9428   -48.5301   4.1679   52.8562   53.1855      b   13.4175   -22.08   17.0104   25.8371   31.2164
b   -34.4107   -11.7184   -30.4569   36.3513   47.6088      b   -61.5952   -58.0857   -29.233   84.6636   89.6663
b   -64.1697   -17.0336   26.6643   66.392   71.669      b   -27.5118   -1.44944   50.8334   27.5499   57.9706
b   -28.5515   -5.2334   -6.78828   29.0272   30.1034      b   -13.9146   -1.82944   -0.0945063   14.0344   14.6468
b   20.6737   -41.9736   -6.61337   46.7887   47.4392      b   21.6975   -29.2013   -2.84614   36.3799   36.7308
b   21.1923   0.0904565   7.45632   21.1925   22.8533      b   13.6217   49.5556   18.5938   51.3936   54.8141
b   56.0728   -66.1273   58.7535   86.7005   104.817      b   21.3915   -10.2833   6.11066   23.7349   24.8644
b   8.72178   31.5618   6.7449   32.7448   33.6937      b   17.9467   39.9868   10.8694   43.8295   45.3511
b   15.8819   27.5764   -29.1572   31.8228   43.3635      b   14.5751   36.6585   -24.6267   39.4497   46.6938
b   42.1877   2.79658   -32.4337   42.2803   53.4521      b   55.0741   29.5711   -43.3452   62.5109   76.1838
b   -65.7079   -86.8424   10.9119   108.9   109.525      b   -10.3513   -10.8139   15.3273   14.9696   21.8305
b   38.7451   -12.7409   0.813545   40.7862   41.0089      b   55.6891   -74.2152   7.98528   92.7857   93.2228
b   15.1488   -2.35774   -34.893   15.3311   38.3422      b   2.9949   -11.1399   -45.3454   11.5355   46.9769
b   -52.7751   -65.5107   -25.7103   84.1241   88.065      b   -19.0158   -6.98692   -26.3464   20.2588   33.4979
b   4.69824   25.9681   -27.1232   26.3897   38.0741      b   11.8748   73.3725   -13.3181   74.3272   75.6271
b   -60.7187   26.6884   -50.2366   66.3252   83.3085      b   -14.3383   28.191   -12.5435   31.6278   34.2814
W   46.4741   -78.399   1.54198   91.1386   121.537      W   33.8909   -1.73463   1.09347   33.9353   87.266
b   -4.97101   39.0445   -12.8039   39.3596   41.6014      b   -51.3684   18.0192   -8.70805   54.4372   55.2883
b   25.7351   -26.6217   -55.9873   37.0272   67.2543      b   60.7652   -42.9081   -33.5645   74.3876   81.7169
b   27.5257   -76.5661   54.1101   81.3635   97.8033      b   43.6126   -19.3349   1.11713   47.7064   47.903
b   -11.526   -16.5636   -60.7443   20.1793   64.1454      b   -16.3842   -47.4756   -34.6181   50.2233   61.142
b   0.734411   -36.8407   -19.7879   36.8481   42.0344      b   2.25618   -54.1729   -17.9556   54.2198   57.2691
Z   -9.03947   -24.3439   -8.26099   25.968   95.1746      Z   -46.4044   -47.2303   -18.7129   66.2123   114.236
b   49.2399   -4.00168   -42.3827   49.4022   65.226      b   16.213   -12.5592   -4.11575   20.5084   21.3328
b   0.427417   -46.8135   19.2365   46.8154   50.7866      b   1.21044   -0.845623   33.8497   1.47656   34.14
b   -15.5426   6.42742   64.8304   16.8192   67.1075      b   -15.3541   5.20109   9.3691   16.2111   19.1869
b   2.03703   -4.87749   21.0257   5.28577   22.0811      b   0.628981   -0.430466   69.2871   0.76218   69.4178
W   -17.3582   -16.9284   7.2427   24.2461   84.2786      W   -18.4292   -58.8744   15.3364   61.6914   102.487
b   -0.193619   31.4725   -53.6405   31.4731   62.3331      b   -2.53132   48.6345   -33.099   48.7003   59.0323
W   19.0798   -74.4019   44.831   76.8094   119.883      W   8.27091   -6.4031   32.5999   10.4598   87.3768
b   -9.70584   -82.5378   43.2497   83.1066   93.7806      b   -8.41342   -9.91496   0.873108   13.0035   13.6898
b   38.7955   -2.27002   34.2612   38.8619   51.9772      b   38.3108   -23.8064   6.58448   45.105   45.7752
b   38.1996   42.453   8.09562   57.1093   57.8322      b   8.5234   23.0955   68.7471   24.6181   73.1421
W   -9.18308   33.8215   -27.6959   35.046   91.9665      W   -32.4934   53.954   -14.2919   62.983   103.12
b   50.6198   -1.6626   -11.0392   50.6471   52.0053      b   6.64192   -10.1953   -1.15414   12.1679   12.9208
b   5.75129   -31.2969   11.2517   31.821   34.0108      b   9.83798   -33.5061   29.7273   34.9205   46.0512
W   76.3828   -3.44988   -37.9166   76.4607   117.245      W   22.8545   -40.5655   -10.7008   46.5605   93.5144
b   -25.8147   0.872964   -54.8315   25.8295   60.7554      b   -6.97814   0.272467   -35.9951   6.98346   36.9049
b   36.3431   71.6963   19.1967   80.3815   82.7481      b   39.7322   17.5249   27.5344   43.4254   51.5894
b   10.0929   21.0827   -24.0196   23.374   33.7763      b   44.2521   39.6674   -17.7107   59.4285   62.1528
W   -34.8102   -28.7502   -20.8306   45.1478   94.524      W   -14.4298   -19.5398   -11.0255   24.2903   84.7003
W   3.81487   2.89683   -43.8775   4.79008   91.71      W   16.4423   78.5999   -9.15996   80.3012   113.994
b   -1.31923   36.2702   58.3028   36.2942   68.8044      b   -1.19713   5.32005   2.30228   5.45308   7.25208
b   -34.7835   34.1702   27.3417   48.7596   56.0591      b   -0.416836   20.5848   28.3888   20.589   35.3184
b   -20.3796   -4.12634   -27.4609   20.7931   34.6989      b   -0.966953   -0.0515738   -5.80298   0.968328   7.22277
b   45.7542   2.31923   -10.3839   45.813   47.1616      b   50.6752   28.7057   -7.25942   58.2408   58.8409
b   -8.30398   -21.5979   32.801   23.1393   40.3595      b   -32.7576   -17.2128   24.9394   37.0047   44.8205
b   3.68523   -3.85497   -17.7218   5.33308   18.9752      b   10.4401   -47.054   -32.8899   48.1983   58.5011
b   0.669154   17.7263   29.2785   17.7389   34.4885      b   0.0741169   56.1401   32.606   56.1401   65.0571
b   -8.85422   5.64698   34.2686   10.5017   36.0857      b   -79.7386   0.355783   13.4202   79.7394   80.9693
