1st NAME	px   py   pz   pt1   E			2nd NAME	px   py   pz   pt2   E
b   -50.0088   3.74315   -65.8201   50.1487   82.8537      b   -1.17668   5.49889   -18.9176   5.62338   20.1756
b   3.9204   -8.7649   -77.5837   9.60172   78.2878      b   76.0951   -15.8877   -1.99594   77.736   77.8744
b   70.6923   -6.17535   -14.9272   70.9615   72.6355      b   9.94962   -7.31719   -32.4015   12.3505   34.9278
b   10.0869   7.748   -4.0454   12.7192   13.9892      b   6.65491   44.7737   -35.3605   45.2656   57.5925
b   68.6659   3.10468   -41.0406   68.7361   80.1657      b   14.7556   37.0235   -0.522205   39.8556   40.0787
b   10.857   -32.5992   -1.85515   34.3596   34.6638      b   9.81737   -19.4526   -74.3583   21.7896   77.5983
b   -18.7835   -24.5581   32.2889   30.918   44.9004      b   -66.3462   -13.6804   53.6608   67.742   86.5218
b   23.2016   -44.1455   -13.8546   49.8712   51.9292      b   22.1855   -43.8109   -5.00611   49.1079   49.5399
b   -10.1963   59.651   17.1933   60.5162   63.0505      b   -42.4754   8.1031   1.77004   43.2414   43.48
b   -6.72561   46.7831   -22.4945   47.2641   52.5114      b   -75.7505   31.1948   -2.01164   81.9222   82.054
b   -33.2016   -2.95518   -26.6857   33.3329   42.9041      b   -7.23829   -18.511   -1.63485   19.8759   20.3784
b   21.0229   -3.59931   44.4658   21.3288   49.4942      b   66.1398   -9.37895   4.38293   66.8015   67.0761
b   55.9248   -1.75646   -27.8132   55.9524   62.6243      b   1.57228   -21.8654   -55.1776   21.9218   59.5205
b   9.41903   11.4881   55.3617   14.8558   57.4732      b   89.492   47.4651   39.6937   101.3   108.88
Z   41.8615   48.3126   -63.0833   63.9257   127.991      Z   48.0967   48.712   -17.0037   68.4554   115.286
b   32.495   -24.3525   0.742032   40.6076   40.8299      b   3.38345   -20.3058   1.00756   20.5858   21.032
b   1.33608   0.120525   -30.945   1.34151   31.2561      b   0.0166099   1.48992   -7.20894   1.49001   8.47024
b   -3.53229   -30.9794   -7.55063   31.1801   32.3538      b   -17.5392   -31.892   -49.5192   36.3967   61.5989
b   -7.16636   47.119   8.11336   47.6609   48.5277      b   -13.034   49.8489   0.798938   51.5248   51.701
b   -21.276   5.59159   -50.2809   21.9985   55.0423      b   -61.8978   38.3129   -18.1192   72.7957   75.1337
b   -10.8895   -27.9333   58.4445   29.9808   65.8192      b   -56.4848   -17.053   31.9746   59.0029   67.2404
b   67.8036   10.0848   -48.4443   68.5494   84.0442      b   11.5836   56.6674   -36.8123   57.8392   68.6883
b   15.7838   -0.485829   39.0809   15.7913   42.3584      b   0.998309   -0.95917   20.0495   1.38442   20.5294
W   -55.4941   -0.258093   -31.9019   55.4947   102.762      W   -30.8903   -1.94501   -4.91875   30.9515   86.2829
b   -19.0701   88.2892   45.1495   90.3253   101.068      b   -2.03394   2.03213   12.676   2.87514   13.6566
b   -59.0833   -13.7121   -7.51308   60.6536   61.2606      b   -29.3823   -16.0947   -44.648   33.5017   55.9764
b   29.0514   -51.1979   8.42302   58.866   59.613      b   35.9296   -5.8891   33.1873   36.409   49.4425
b   6.68701   -14.1117   32.8907   15.6159   36.6499      b   42.6212   -22.6485   54.4858   48.2652   72.9095
b   2.77759   -12.5009   4.96586   12.8057   14.3598      b   7.88077   -75.7899   2.38338   76.1985   76.3509
b   73.8882   -47.1741   -65.8372   87.6633   109.713      b   8.22025   -50.9543   -24.2678   51.6131   57.1874
b   34.9829   -2.80423   -43.0202   35.0951   55.6773      b   9.53761   -3.62237   -33.9221   10.2023   35.67
b   -6.24146   0.253573   38.1195   6.24661   38.8545      b   -0.295619   95.3341   50.4729   95.3346   107.953
b   7.92255   27.0207   -81.65   28.1583   86.4707      b   40.0939   31.898   -13.3407   51.2348   53.1087
b   -59.9247   17.5632   -29.136   62.4455   69.0355      b   -16.5375   7.63539   -33.3377   18.2151   38.2197
W   60.6795   48.5856   -84.1624   77.734   139.959      W   28.6204   25.4104   -12.4663   38.273   89.9043
b   27.6436   -28.6589   -19.6927   39.8183   44.619      b   67.6468   -15.1204   -56.64   69.3161   89.6123
b   8.57495   5.75555   -22.853   10.3274   25.4258      b   12.6262   16.03   -5.30591   20.4055   21.4963
W   -3.29279   75.0989   28.6144   75.171   113.719      W   -6.66543   16.9339   60.2261   18.1985   102.083
Z   -7.58467   -36.7028   3.2112   37.4783   98.6435      Z   -24.1675   -41.263   83.7647   47.8195   132.736
b   -70.4813   -6.12708   -1.1509   70.7471   70.8805      b   -16.2956   -37.5207   -0.922992   40.9066   41.131
b   47.476   -12.9461   -25.8767   49.2095   55.756      b   46.5415   -12.0983   -12.1618   48.0883   49.779
W   -15.5832   -0.769559   20.9918   15.6022   84.5378      W   -31.9473   -0.329944   13.5798   31.949   87.5654
b   -65.4063   -20.4885   51.0716   68.5402   85.5782      b   -12.9478   -21.0091   18.9239   24.6785   31.3799
b   8.29769   19.6165   -39.9424   21.2993   45.46      b   29.7068   15.1696   -27.4048   33.3558   43.3727
b   5.58063   32.1186   27.2841   32.5998   42.7168      b   43.0646   2.89843   16.3589   43.162   46.3479
W   18.992   -16.8739   -58.7248   25.4052   102.745      W   4.60801   -50.2198   -0.168392   50.4308   94.8991
b   56.7285   -23.0421   1.27515   61.2296   61.386      b   18.1196   -52.1345   21.567   55.1935   59.4055
b   3.43251   -10.702   -2.91731   11.239   12.3443      b   8.45061   -52.4781   -15.5773   53.1541   55.5479
b   4.11315   12.6505   -6.07272   13.3024   15.2114      b   24.896   9.78425   -27.4928   26.7496   38.5869
b   19.4051   17.0583   1.01479   25.8369   26.1941      b   9.58735   24.7791   80.5314   26.5692   84.9046
b   -8.10591   34.6553   -63.1047   35.5907   72.5704      b   -9.32046   27.7728   -9.43347   29.2951   31.0604
b   27.3185   2.17439   -31.8446   27.4049   42.2216      b   2.50201   8.31891   -4.6914   8.68702   10.7252
b   -18.3148   25.5105   7.33534   31.4041   32.5204      b   -22.8801   32.8528   40.2016   40.035   56.8905
W   -4.95483   49.6475   15.227   49.8941   95.8323      W   -17.6285   18.0387   2.89002   25.2222   84.3034
b   -43.7043   1.51596   -33.7007   43.7306   55.3684      b   -15.9312   56.9009   -4.68629   59.0891   59.4225
Z   1.7094   -44.265   13.8128   44.298   102.317      Z   54.8565   -26.3636   63.1511   60.8628   126.523
b   -8.34761   -30.2161   -3.79185   31.348   31.8532      b   -66.9862   -48.8884   -0.656737   82.9291   83.0374
W   18.036   20.955   -59.2824   27.648   103.641      W   80.7144   76.0549   -4.70711   110.902   137.054
b   1.21139   0.0181267   -43.1736   1.21153   43.3933      b   7.18765   0.145753   -54.8366   7.18913   55.4644
W   64.5337   9.14735   43.452   65.1788   112.245      W   1.18195   3.13626   9.43905   3.35159   81.0116
b   -11.572   32.4502   -28.1563   34.4518   44.6907      b   -35.4693   27.666   -32.3994   44.9831   55.5946
b   -30.5739   7.40927   52.6641   31.4589   61.4876      b   -34.4336   43.2068   45.7042   55.2495   71.8257
W   39.7081   -21.6858   -44.5555   45.2439   102.444      W   3.89535   -55.8821   -36.8466   56.0177   104.681
b   12.0128   -81.2818   32.0331   82.1647   88.2877      b   46.0986   -14.8335   27.3058   48.4264   55.7519
Z   -50.9091   -8.85713   32.2815   51.6738   109.672      Z   -32.2167   -32.8754   1.96753   46.0294   102.167
b   29.5814   18.3162   7.8148   34.7929   35.905      b   12.2862   63.3182   0.959593   64.4992   64.6423
b   -38.4524   -10.2577   -23.2444   39.7971   46.2781      b   -1.92907   -15.5191   -13.061   15.6385   20.8016
b   -67.4634   -1.35594   -19.2601   67.477   70.2969      b   -17.0973   -81.8396   -3.29531   83.6065   83.7762
W   -15.8894   25.7699   -20.0114   30.2748   88.2019      W   -31.8097   1.96161   -10.497   31.8701   87.1117
b   -20.6502   -23.1763   -28.9368   31.0414   42.6435      b   -6.52   -39.8216   -55.0164   40.3518   68.3566
b   27.2336   -3.62448   8.75937   27.4738   29.1392      b   21.591   -25.6088   55.2696   33.496   64.7632
b   -0.691301   37.5199   -37.7854   37.5263   53.4183      b   -1.86181   49.2405   -60.6026   49.2757   78.2197
b   -14.5837   20.2623   18.3272   24.9649   31.252      b   -14.3556   56.1755   53.9978   57.9808   79.3416
b   0.297455   -16.146   17.3319   16.1487   24.0568      b   24.5726   -15.0968   14.4447   28.8397   32.5259
b   -30.1212   -24.0459   -9.89457   38.5421   40.0119      b   -13.8435   -12.6896   -21.328   18.7795   28.7247
b   -43.6993   0.914372   31.4454   43.7089   54.0077      b   -39.4942   46.6332   16.8887   61.1101   63.5392
W   66.5753   44.4532   29.0418   80.0523   117.108      W   24.768   11.3252   31.8798   27.2344   90.6675
b   32.7859   88.8732   30.0333   94.7278   99.4631      b   33.2813   9.72424   4.07976   34.6729   35.1626
b   15.6939   57.8223   -45.0804   59.9142   75.0967      b   56.905   33.2535   -21.0351   65.9088   69.3109
b   53.9457   69.7122   22.0641   88.1472   90.9632      b   43.385   14.4619   4.99761   45.7319   46.1946
W   70.1744   -41.2351   -46.2996   81.3927   123.414      W   16.4715   -17.069   -51.6567   23.7205   98.4562
W   -19.8636   -72.8967   -17.6766   75.5546   111.73      W   -50.3689   -4.14368   -11.0939   50.5391   95.6024
b   -58.7887   0.0124587   -18.7859   58.7887   61.8593      b   -21.7979   9.42198   -27.52   23.7471   36.59
b   -57.8677   -20.6887   -15.4164   61.4548   63.4974      b   -35.5542   -19.4227   -17.3676   40.5135   44.2779
W   -21.1834   4.11365   -13.0606   21.5791   84.2543      W   -4.82932   6.00833   -17.9517   7.70859   82.7299
b   8.0192   26.7407   -30.5614   27.9173   41.6044      b   61.2706   15.3259   -33.037   63.1582   71.4
W   48.4846   66.6103   -84.3763   82.3874   142.722      W   7.72497   12.8751   -3.15496   15.0147   81.841
b   9.81986   6.1014   0.875021   11.561   12.328      b   19.2747   7.53753   27.7981   20.6961   34.9087
W   -1.52167   28.2506   49.6611   28.2916   98.6367      W   -46.7656   47.5046   46.2936   66.6611   114.234
W   53.5783   0.255307   -54.2312   53.5789   110.789      W   14.1066   1.49687   -28.2063   14.1858   86.3677
W   -40.867   -10.5177   -40.3756   42.1987   99.3654      W   -51.9066   -55.7449   -37.4075   76.1695   116.892
Z   44.4494   0.992513   -77.2713   44.4605   127.527      Z   10.3071   5.96922   -9.68215   11.9108   92.4728
b   32.3602   -4.31192   12.3836   32.6462   35.1665      b   0.248142   -22.1402   12.6329   22.1415   25.834
b   11.1685   0.473606   8.02192   11.1786   14.3829      b   2.37177   14.6281   20.6422   14.8191   25.7539
b   51.3458   2.99654   11.3991   51.4332   52.8476      b   30.0628   15.426   15.2835   33.7896   37.3213
W   -2.72018   10.5141   -4.86467   10.8603   81.266      W   -1.55681   2.77925   -60.0892   3.18557   100.416
b   22.5974   0.873083   -38.145   22.6143   44.5421      b   35.2764   0.414797   -3.41662   35.2788   35.6907
b   5.58616   58.4475   -41.5894   58.7139   72.0733      b   5.88476   4.52195   -22.7905   7.42149   24.3319
Z   -36.9602   -3.28617   31.2259   37.106   103.284      Z   -3.46385   -16.3965   30.3548   16.7584   97.5596
b   -4.55052   -44.6382   -31.6038   44.8695   55.0421      b   -59.7817   -3.09688   -7.88398   59.8619   60.524
b   59.9842   6.42527   -0.0490524   60.3274   60.4727      b   20.4126   15.7189   -4.59329   25.7635   26.5031
b   -23.6301   2.42384   6.49157   23.7541   24.9791      b   -3.54738   47.4464   44.0838   47.5788   64.9976
W   -3.57408   -12.885   -24.9853   13.3715   85.2386      W   -38.2849   -33.6084   -16.3184   50.9436   96.5614
b   -56.6484   2.24636   31.572   56.6929   65.0264      b   -10.438   5.75201   3.2151   11.9179   13.0357
b   12.0839   63.8498   10.2391   64.9832   65.9182      b   11.7018   18.3578   9.60303   21.7702   24.1602
b   32.1654   1.06308   12.1858   32.183   34.6669      b   46.7909   4.59482   1.07567   47.0159   47.2145
b   -3.40459   45.7943   -3.54446   45.9207   46.2475      b   -72.9567   2.66375   -3.77495   73.0053   73.2228
W   18.1651   -3.74735   18.0387   18.5476   84.4509      W   15.3423   -0.472306   14.1165   15.3495   83.0508
Z   -38.0683   -42.8512   -20.2082   57.3186   109.587      Z   -56.5908   -0.577446   -8.92548   56.5937   107.695
b   -5.2317   -6.53071   -54.9624   8.36785   55.7534      b   -62.3335   -52.7944   -1.23624   81.6867   81.8035
W   84.1689   45.473   0.249408   95.6671   124.959      W   10.4061   1.11741   83.9282   10.466   116.688
b   5.82877   19.9389   -18.9771   20.7734   28.4468      b   4.50948   61.0889   -49.2782   61.2551   78.7279
W   -13.0886   -2.96588   -28.0506   13.4204   86.1945      W   -77.9356   -37.5946   -1.54743   86.5292   118.12
b   1.94257   1.53479   -2.67596   2.47571   5.55392      b   84.1604   5.27018   -6.1304   84.3253   84.6516
b   -41.0115   7.67199   -6.23788   41.723   42.3942      b   -55.7847   4.50465   -37.1075   55.9662   67.2811
b   4.4163   -35.6523   -22.0913   35.9248   42.3813      b   69.3382   -59.3005   -15.7156   91.2378   92.6762
b   -11.2279   -8.95765   28.5678   14.3633   32.2487      b   -33.304   -5.35725   10.1482   33.7321   35.4739
b   0.172102   -21.7734   -12.7754   21.7741   25.5906      b   0.224413   -12.2995   -35.0294   12.3016   37.3624
b   1.37176   -54.2837   2.60954   54.301   54.5249      b   36.1925   -16.8725   15.0562   39.9321   42.8815
W   -31.7243   -52.0671   47.2579   60.9706   111.415      W   -26.9363   -29.9902   40.5141   40.311   98.6353
b   -1.94611   -9.64498   40.0704   9.83936   41.4729      b   -5.69426   -29.4697   28.1912   30.0148   41.3906
W   6.81297   65.9135   -6.7797   66.2647   104.401      W   20.0221   30.569   -45.4606   36.5424   99.3205
b   -24.3793   -49.9424   43.1568   55.5751   70.4887      b   -62.1825   -36.4218   45.8109   72.064   85.4951
b   56.1734   -35.5454   28.4409   66.475   72.4249      b   19.4949   -53.0601   35.3606   56.5281   66.8083
b   -21.4977   -7.39392   0.8929   22.7337   23.1338      b   -49.4641   -2.05398   1.59958   49.5068   49.7095
b   -39.0928   89.1344   -25.8502   97.3303   100.792      b   -40.1459   9.42472   -20.3585   41.2373   46.1795
b   46.5283   -22.3279   -60.7182   51.6083   79.7977      b   1.15725   -6.21147   -30.2737   6.31835   31.2086
b   47.5413   -54.4238   -3.13407   72.2643   72.4535      b   45.9576   -7.72574   -6.43544   46.6024   47.2309
W   18.7005   45.9347   7.87271   49.5954   94.7852      W   78.9245   19.5762   42.2406   81.3161   121.898
b   -58.1479   21.0605   -10.2097   61.8443   62.8213      b   -15.6774   78.2608   -5.37751   79.8156   80.1062
Z   17.2081   -31.586   -24.1227   35.9693   100.952      Z   8.24923   -6.0786   -0.120218   10.2469   91.764
b   -7.45583   80.0547   0.728191   80.4012   80.5136      b   -88.215   9.98534   2.39973   88.7783   88.9095
b   -38.4141   66.6336   39.1109   76.9134   86.388      b   -40.0283   3.88714   35.6574   40.2166   53.9109
W   49.6014   2.42239   -38.1372   49.6605   101.898      W   45.1409   36.516   -31.0596   58.0613   103.915
b   42.9397   18.6952   30.2177   46.833   55.8927      b   41.9099   67.7107   8.29647   79.6316   80.1721
W   -23.4954   -28.6059   1.06794   37.018   88.51      W   -10.47   -13.2508   84.7483   16.888   118.026
b   32.6653   -5.13384   -2.07877   33.0662   33.3954      b   10.9447   -7.11171   -13.3411   13.0523   19.1286
b   -63.1848   -10.2473   -22.4527   64.0104   67.9633      b   -9.56914   -21.9233   -2.5889   23.9207   24.4225
b   27.0794   -59.403   15.8612   65.2841   67.3138      b   17.9603   -23.4574   40.6032   29.5435   50.3884
b   -11.6731   30.464   -2.37087   32.6238   32.9771      b   -4.87965   12.2814   -11.1349   13.2153   17.7816
b   11.5176   9.86442   6.50142   15.1645   17.0231      b   61.5361   3.47985   31.1893   61.6344   69.2035
b   3.01112   69.6688   15.5432   69.7339   71.5679      b   11.2965   20.5792   10.5418   23.4758   26.073
W   -28.2861   -5.71776   -10.7698   28.8582   86.0891      W   -5.94694   -3.26167   -60.1014   6.78267   100.602
b   45.7079   -11.7753   -16.7837   47.2003   50.2704      b   35.0861   -50.2805   -76.5748   61.312   98.1857
b   31.2434   59.526   -12.5317   67.2272   68.5135      b   4.16137   26.6694   -20.6032   26.9921   34.2143
W   1.34997   2.74818   8.30881   3.06185   80.8762      W   6.55508   20.5235   17.1578   21.5449   84.9772
b   -83.2843   7.96562   28.1843   83.6644   88.3835      b   -6.36448   23.4018   31.7443   24.2518   40.1672
b   -19.0048   1.23892   -40.0481   19.0452   44.5435      b   -29.7693   42.6322   -50.539   51.9973   72.6324
b   0.173379   0.897697   -21.2896   0.914286   21.7172      b   4.92435   0.126191   -16.9176   4.92596   18.1115
b   -17.4629   -23.0194   30.0818   28.8937   41.9204      b   -16.8277   -24.1869   19.5629   29.4648   35.6152
b   -30.2627   -15.7497   -43.2706   34.1158   55.2611      b   -22.5081   -63.9963   -54.9789   67.8391   87.4207
b   68.7187   14.1017   21.1331   70.1506   73.3844      b   17.0273   24.7108   29.8432   30.0092   42.5291
b   48.0997   32.8554   20.27   58.25   61.8182      b   1.10907   28.2293   3.62295   28.2511   28.789
W   -13.9066   22.9801   -8.76465   26.8604   85.2106      W   -34.1684   71.4712   -18.6666   79.2188   114.397
W   -5.15007   -41.3704   -33.0892   41.6898   96.4131      W   -14.6482   -55.7228   -24.2541   57.616   101.835
b   -38.7697   27.0201   20.3663   47.2565   51.6287      b   -19.4124   67.3502   5.42902   70.092   70.4267
b   -19.0199   -6.30561   -18.6907   20.0379   27.7203      b   -9.14322   -5.65628   -1.07391   10.7514   11.5888
b   31.3918   -48.8489   34.3998   58.066   67.6208      b   21.1384   -0.440701   31.3187   21.143   38.019
b   62.635   5.22699   -0.385108   62.8527   62.9934      b   11.32   9.77074   -62.8909   14.9536   64.7798
Z   33.1792   39.2488   1.95948   51.3938   104.694      Z   55.0227   9.16772   13.4715   55.7812   107.743
W   66.8642   3.18987   24.5107   66.9403   107.445      W   7.60686   2.13938   17.7028   7.90198   82.6945
b   47.939   -29.3482   -24.2495   56.2091   61.3601      b   25.5656   -56.4096   -18.7198   61.9325   64.8354
b   12.2244   32.516   -13.3395   34.738   37.4463      b   25.7393   5.9679   -5.90009   26.4221   27.3952
b   -55.7454   24.3394   20.3375   60.8273   64.2739      b   -12.124   6.54306   39.0044   13.7769   41.5776
b   -17.8324   -30.2069   -84.6101   35.0778   91.6891      b   -23.2648   -8.1648   -9.4996   24.6559   26.7528
W   -4.55624   0.180709   -7.60884   4.55982   80.8779      W   -5.83207   1.02206   -15.7364   5.92095   82.1294
W   -2.08245   2.49363   -63.9127   3.24881   102.752      W   -0.878909   13.4625   -5.31034   13.4911   81.687
b   45.6893   2.29333   -16.1655   45.7469   48.6997      b   12.4579   25.1014   -3.10431   28.0229   28.5039
b   3.69405   4.04658   78.773   5.47913   79.0744      b   85.9249   66.3142   5.53764   108.539   108.761
b   -77.2622   -0.392926   -34.4297   77.2632   84.691      b   -14.8863   -0.129024   -12.4376   14.8868   19.8461
W   -41.405   -20.0756   -6.98654   46.0152   92.8912      W   -51.63   -25.3925   -16.5785   57.5364   100.239
b   -34.1331   2.55139   -20.0336   34.2283   39.8808      b   -5.04966   62.0971   -56.6342   62.302   84.3002
b   37.9346   14.0817   -12.4071   40.464   42.5303      b   18.1942   9.55294   -60.4784   20.5497   64.0116
W   -4.25349   25.7546   31.9401   26.1035   90.3555      W   -35.4149   17.4334   45.6364   39.4732   100.516
W   64.8242   26.7231   -0.571342   70.1163   106.673      W   15.3561   9.96333   -0.272301   18.3051   82.4482
b   15.0336   11.8248   -81.2682   19.1268   83.5937      b   66.9766   10.6245   -6.82503   67.814   68.2853
Z   -22.4988   7.16502   -3.38086   23.6122   94.2581      Z   -0.647598   17.018   -22.7095   17.0304   95.5059
b   -9.28394   -42.1206   -15.9937   43.1316   46.1919      b   -31.1935   -26.2514   -2.14689   40.7697   41.0407
Z   -27.4001   2.69367   6.8461   27.5322   95.5014      Z   -3.98182   79.4286   60.4447   79.5283   135.255
b   22.6885   1.95356   -29.9324   22.7725   37.843      b   20.1333   2.01052   -3.78648   20.2335   21.0068
b   5.82892   -3.99386   -4.85088   7.06592   9.54015      b   75.7927   -6.41463   -19.8521   76.0636   78.7232
b   12.6191   -9.49209   43.5012   15.7906   46.4677      b   25.0788   -13.8291   9.19294   28.639   30.3687
W   -14.3767   8.54776   -15.2862   16.7259   83.5223      W   -35.9906   28.9971   -8.22253   46.2186   93.0931
W   -78.1795   -16.6935   -23.5097   79.9419   115.784      W   -2.31744   -20.875   -3.63253   21.0033   83.1678
W   -64.8097   -3.1242   -26.2227   64.885   106.584      W   -22.2238   -28.3222   -19.6055   36.0006   90.2384
W   -7.37332   72.5835   11.4612   72.9571   109.163      W   -85.3404   10.7466   74.6764   86.0144   139.419
Z   11.1185   -38.6393   -0.00789364   40.2071   99.6606      Z   41.6025   -42.1082   -0.022273   59.1935   108.717
b   -51.1359   -63.1698   -0.216349   81.273   81.3812      b   -2.17334   -25.6719   -8.89348   25.7637   27.5757
b   -7.25718   31.8368   -28.6476   32.6534   43.6404      b   -4.21098   53.7089   -29.638   53.8737   61.6308
W   15.6283   71.1559   71.3097   72.8519   129.827      W   77.9139   17.6391   7.47919   79.8856   113.579
b   -40.4323   27.8488   88.6414   49.0951   101.416      b   -28.417   8.69252   8.45628   29.7168   31.1794
W   -19.972   13.9065   -4.90279   24.3366   84.136      W   -32.4098   8.87403   -54.3891   33.6027   102.713
W   -24.3766   -13.3107   -73.7774   27.774   112.592      W   -21.9074   -73.8575   -7.68807   77.0381   111.609
b   63.2817   -16.7051   33.0404   65.4494   73.436      b   2.09639   -79.4597   4.40361   79.4873   79.7194
W   31.1986   7.31664   -35.5536   32.045   93.5601      W   30.8175   1.37365   -26.6371   30.8481   90.1315
b   18.0997   -27.7842   -1.99806   33.1596   33.483      b   13.4761   -44.891   -79.5527   46.8701   92.4283
b   -5.01736   -6.95051   28.9981   8.57225   30.5275      b   -4.24519   -7.7178   47.6395   8.8083   48.6278
b   -29.4621   -0.557629   28.2042   29.4674   41.0044      b   -63.7147   -5.61157   28.5811   63.9613   70.1818
b   11.8916   -6.25163   0.794058   13.4348   14.0954      b   10.7457   -41.9832   3.42154   43.3365   43.6729
b   -16.6126   21.7133   -14.4516   27.3395   31.2066      b   -21.4144   10.4662   -70.1372   23.8352   74.195
b   17.3227   -38.0862   25.1126   41.8406   48.9779      b   14.2982   -9.44439   67.2408   17.1358   69.5163
b   -8.50665   52.7756   -24.949   53.4567   59.1408      b   -49.6277   36.4785   -25.8837   61.5921   66.9411
Z   -42.9511   5.30105   -2.82102   43.277   100.978      Z   -9.59492   1.18035   -6.83294   9.66725   91.9552
W   6.21834   10.1513   7.12588   11.9045   81.5785      W   63.027   20.5823   4.50553   66.3026   104.302
b   36.3433   28.5931   39.9449   46.2428   61.2499      b   24.553   17.3545   59.5152   30.0671   66.8105
b   16.3545   -9.91469   -38.2159   19.1251   42.9392      b   57.4103   -1.30938   -9.05423   57.4253   58.2855
W   28.3644   1.0689   20.808   28.3845   87.7565      W   26.3048   1.03378   53.8875   26.3251   100.297
W   40.8401   -15.8464   -15.1437   43.8066   92.795      W   15.6506   -58.9938   -60.6448   61.0345   117.752
b   -10.5301   3.96755   1.34403   11.2527   12.0825      b   -68.28   0.00127983   24.5204   68.28   72.6703
b   1.95265   -4.03278   -90.3661   4.48065   90.5741      b   78.9583   -2.93223   -1.90582   79.0127   79.1467
b   -1.85667   -13.5814   -18.0817   13.7078   23.0739      b   -2.04141   -12.0473   -43.0661   12.219   44.9616
W   -77.4176   5.89872   6.17575   77.642   111.933      W   -10.3273   10.2048   78.6424   14.5187   113.393
b   -8.31189   -14.2226   -24.2542   16.4733   29.6174      b   -49.5283   -56.5562   -4.09544   75.1775   75.4055
W   -21.5359   22.2555   0.969045   30.9693   86.1545      W   -11.6499   6.22372   58.2688   13.2082   100.161
b   41.3251   3.09298   -0.167682   41.4407   41.6523      b   15.6796   46.7934   -0.368245   49.3505   49.5295
b   -27.8271   18.6009   15.674   33.4715   37.1964      b   -12.8083   67.2721   9.36129   68.4806   69.2444
b   -73.1311   -3.11925   9.20527   73.1976   73.893      b   -2.96285   -54.8762   5.74807   54.9562   55.4146
b   20.4641   40.5098   -7.32876   45.3853   46.1637      b   65.0565   6.73172   -0.392832   65.4038   65.5391
b   1.34315   -10.2063   -27.0688   10.2943   29.2617      b   21.0247   -30.6154   -4.51366   37.1394   37.6466
b   15.0514   -49.5613   -78.1162   51.7964   93.822      b   61.7423   -34.6702   -2.96387   70.8106   70.9963
b   14.2746   0.00145139   -15.9962   14.2746   21.8449      b   35.0547   0.000494102   -32.4669   35.0547   47.9634
b   -0.00361965   -22.8379   6.74322   22.8379   24.1784      b   -2.11589   -56.8018   23.8194   56.8412   61.7725
b   40.4856   0.219987   0.170593   40.4862   40.7028      b   2.32203   6.47065   8.99774   6.87467   12.0738
b   -2.53982   40.0311   -79.2915   40.1116   88.9586      b   -8.71508   2.12956   -1.5313   8.97149   10.0194
W   78.1685   87.7995   29.4062   117.554   145.418      W   6.92999   11.786   12.6946   13.6724   82.5266
W   7.77314   3.28314   -34.4473   8.43805   87.8656      W   59.1623   3.15995   -1.06021   59.2466   99.8691
W   -37.791   -8.97028   8.01633   38.841   89.6406      W   -0.739899   -66.5847   9.70875   66.5888   104.837
b   40.1458   31.5262   -6.24843   51.045   51.5964      b   31.1162   14.938   -24.8455   34.5161   42.7342
W   -19.6415   -42.8537   7.62887   47.1405   93.5039      W   -16.7307   -3.71001   51.4602   17.1371   96.9762
b   -33.627   -10.1325   69.1671   35.1204   77.6858      b   -14.6934   -53.206   16.4835   55.1976   57.7584
Z   60.2022   -15.1553   54.8027   62.0805   123.179      Z   14.0819   -11.7568   6.09148   18.3445   93.2161
b   7.13273   -59.2228   85.9406   59.6508   104.697      b   40.4721   -6.93859   8.78682   41.0626   42.2007
b   -65.3716   -9.0118   17.2722   65.9898   68.3414      b   -13.4266   -24.8362   31.0973   28.2332   42.2103
b   -30.015   -10.4541   5.24872   31.7834   32.4852      b   -22.4075   -7.43172   56.6888   23.6078   61.5508
b   22.2825   19.2535   -84.593   29.4484   89.6702      b   44.7652   38.4102   -0.25779   58.9853   59.1345
b   -3.18048   53.5967   -7.01022   53.691   54.3085      b   -22.0584   37.1598   -0.998384   43.2137   43.4278
b   29.2866   -48.0939   3.29302   56.3092   56.5608      b   48.3988   -2.57988   8.14818   48.4675   49.326
b   6.97105   -19.9042   13.7409   21.0896   25.5175      b   7.86295   -15.8778   44.3558   17.7181   47.9471
b   64.6216   3.43451   7.09389   64.7128   65.2352      b   22.8191   11.4337   3.38886   25.5234   26.0861
b   -16.175   44.8806   93.2806   47.7064   104.856      b   -14.5252   54.4903   1.86623   56.393   56.5793
b   28.3931   40.2888   -33.8924   49.2885   59.9634      b   52.6777   51.5134   -33.7497   73.6788   81.1491
b   -16.1207   -51.2672   76.2281   53.742   93.3621      b   -0.0554352   -42.557   5.61594   42.557   43.13
b   1.39609   -54.8963   -23.8205   54.9141   60.0044      b   1.61795   -2.43036   -69.0108   2.91966   69.1996
b   8.71476   -20.9726   36.9743   22.7112   43.5942      b   53.6851   -48.4868   33.8588   72.3399   79.9815
b   22.2167   33.178   -9.6143   39.9294   41.2838      b   29.3937   20.3183   -11.4059   35.7327   37.7422
b   -20.4216   7.26044   0.173672   21.6738   22.0758      b   -55.9797   68.4859   62.8229   88.4537   108.574
W   52.1861   3.82993   10.7288   52.3264   96.5179      W   19.1356   6.35753   26.3782   20.164   86.9767
b   27.2985   -0.710851   16.6202   27.3078   32.2413      b   28.6455   -83.08   27.5359   87.8797   92.188
b   31.9331   -17.1793   2.17076   36.2609   36.5667      b   4.67885   -77.9759   60.6319   78.1162   98.9743
